,tile statistics,,,pixel resolution,
zoom,x tile,y tile,total tiles,256,512
0,1,1,1,1.4062500000,0.7031250000
1,2,2,4,0.7031250000,0.3515625000
2,4,4,16,0.3515625000,0.1757812500
3,8,8,64,0.1757812500,0.0878906250
4,16,16,256,0.0878906250,0.0439453125
5,32,32,"1,024",0.0439453125,0.0219726563
6,64,64,"4,096",0.0219726563,0.0109863281
7,128,128,"16,384",0.0109863281,0.0054931641
8,256,256,"65,536",0.0054931641,0.0027465820
9,512,512,"262,144",0.0027465820,0.0013732910
10,"1,024","1,024","1,048,576",0.0013732910,0.0006866455
11,"2,048","2,048","4,194,304",0.0006866455,0.0003433228
12,"4,096","4,096","16,777,216",0.0003433228,0.0001716614
13,"8,192","8,192","67,108,864",0.0001716614,0.0000858307
14,"16,384","16,384","268,435,456",0.0000858307,0.0000429153
15,"32,768","32,768","1,073,741,824",0.0000429153,0.0000214577
16,"65,536","65,536","4,294,967,296",0.0000214577,0.0000107288
17,"131,072","131,072","17,179,869,184",0.0000107288,0.0000053644
18,"262,144","262,144","68,719,476,736",0.0000053644,0.0000026822
19,"524,288","524,288","274,877,906,944",0.0000026822,0.0000013411
20,"1,048,576","1,048,576","1,099,511,627,776",0.0000013411,0.0000006706
21,"2,097,152","2,097,152","4,398,046,511,104",0.0000006706,0.0000003353
22,"4,194,304","4,194,304","17,592,186,044,416",0.0000003353,0.0000001676
