,tile statistics,,,pixel resolution,
zoom,x tile,y tile,total tiles,256,512
0,2,1,2,0.7031250000,0.3515625000
1,4,2,8,0.3515625000,0.1757812500
2,8,4,32,0.1757812500,0.0878906250
3,16,8,128,0.0878906250,0.0439453125
4,32,16,512,0.0439453125,0.0219726563
5,64,32,"2,048",0.0219726563,0.0109863281
6,128,64,"8,192",0.0109863281,0.0054931641
7,256,128,"32,768",0.0054931641,0.0027465820
8,512,256,"131,072",0.0027465820,0.0013732910
9,"1,024",512,"524,288",0.0013732910,0.0006866455
10,"2,048","1,024","2,097,152",0.0006866455,0.0003433228
11,"4,096","2,048","8,388,608",0.0003433228,0.0001716614
12,"8,192","4,096","33,554,432",0.0001716614,0.0000858307
13,"16,384","8,192","134,217,728",0.0000858307,0.0000429153
14,"32,768","16,384","536,870,912",0.0000429153,0.0000214577
15,"65,536","32,768","2,147,483,648",0.0000214577,0.0000107288
16,"131,072","65,536","8,589,934,592",0.0000107288,0.0000053644
17,"262,144","131,072","34,359,738,368",0.0000053644,0.0000026822
18,"524,288","262,144","137,438,953,472",0.0000026822,0.0000013411
19,"1,048,576","524,288","549,755,813,888",0.0000013411,0.0000006706
20,"2,097,152","1,048,576","2,199,023,255,552",0.0000006706,0.0000003353
21,"4,194,304","2,097,152","8,796,093,022,208",0.0000003353,0.0000001676
22,"8,388,608","4,194,304","35,184,372,088,832",0.0000001676,0.0000000838
